Sexo y grupos de edad;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50 - 54;133,501;138,009;142,639;147,322;152,230;157,301;162,137;167,037;171,896;176,980;182,176;187,734;193,321;198,945;204,600;210,271;213,996;217,625;221,263;224,704;228,018;231,922;235,677;239,449;242,889;246,117;250,667;255,040;259,541;263,512;267,199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55 - 59;100,114;103,385;106,708;110,073;113,504;116,995;120,999;125,130;129,310;133,735;138,322;143,131;148,031;152,947;158,074;163,322;168,228;173,156;178,117;183,102;188,095;191,340;194,497;197,661;200,648;203,520;206,905;210,157;213,422;216,389;219,164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 - 64;75,566;76,149;76,693;77,201;77,602;77,951;80,636;83,377;86,175;89,043;91,975;95,172;98,468;101,810;105,340;108,991;112,703;116,489;120,289;124,253;128,314;132,103;135,910;139,744;143,598;147,462;149,946;152,366;154,792;157,081;159,283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65 - 69;50,289;51,234;52,163;53,065;53,892;54,682;54,878;55,022;55,150;55,183;55,152;56,898;58,677;60,492;62,343;64,230;66,442;68,729;71,052;73,510;76,058;78,650;81,295;83,955;86,736;89,589;92,248;94,925;97,624;100,342;103,070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70 - 74;30,481;31,011;31,527;31,996;32,417;32,813;32,922;33,001;33,055;33,059;33,013;33,059;33,092;33,133;33,136;33,120;34,128;35,156;36,206;37,279;38,373;39,659;40,990;42,342;43,776;45,263;46,769;48,308;49,857;51,475;53,137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75 - 79;17,054;17,298;17,515;17,681;17,797;17,878;17,793;17,666;17,511;17,311;17,062;17,240;17,417;17,604;17,777;17,947;17,975;17,998;18,026;18,036;18,038;18,597;19,168;19,753;20,354;20,967;21,682;22,425;23,181;23,984;24,818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80 y más;7,120;7,328;7,528;7,711;7,879;8,032;8,092;8,127;8,137;8,118;8,064;8,283;8,510;8,746;8,987;9,235;9,464;9,701;9,948;10,198;10,456;10,661;10,873;11,095;11,315;11,537;11,897;12,266;12,649;13,039;13,438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;1,340,919;1,369,409;1,397,968;1,428,507;1,458,651;1,488,586;1,519,996;1,551,627;1,584,270;1,616,143;1,648,160;1,697,587;1,746,962;1,797,628;1,846,702;1,895,254;1,943,850;1,992,414;2,042,272;2,090,486;2,138,173;2,185,115;2,232,040;2,280,244;2,326,813;2,372,840;2,417,258;2,461,680;2,507,354;2,551,483;2,595,125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 - 19;134,675;130,995;127,400;123,933;120,556;117,298;113,883;110,546;107,276;104,140;101,105;103,323;105,481;107,579;109,621;111,610;113,705;115,764;117,786;119,775;121,732;122,831;123,883;124,892;125,860;126,791;128,518;130,235;131,942;133,637;135,326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 - 24;231,517;233,853;236,011;238,900;240,919;242,454;244,638;246,779;248,778;250,772;252,735;257,386;261,997;266,580;271,131;275,659;278,436;281,149;283,793;286,376;288,902;291,814;294,691;297,525;300,319;303,074;303,624;304,115;304,554;304,941;305,278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 - 29;216,130;220,117;223,903;227,947;231,652;235,043;238,862;242,489;246,614;249,701;252,391;258,250;264,106;269,964;275,824;281,690;286,743;291,785;296,821;301,845;306,867;309,932;312,951;315,917;318,837;321,712;324,996;328,254;331,483;334,682;337,857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
